"training/epoch","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views8_seed42 - training/flow_loss","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views8_seed42 - training/flow_loss__MIN","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views8_seed42 - training/flow_loss__MAX","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views8_seed42 - _step","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views8_seed42 - _step__MIN","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views8_seed42 - _step__MAX","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views4_seed42 - training/flow_loss","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views4_seed42 - training/flow_loss__MIN","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views4_seed42 - training/flow_loss__MAX","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views4_seed42 - _step","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views4_seed42 - _step__MIN","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views4_seed42 - _step__MAX","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views2_seed42 - training/flow_loss","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views2_seed42 - training/flow_loss__MIN","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views2_seed42 - training/flow_loss__MAX","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views2_seed42 - _step","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views2_seed42 - _step__MIN","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views2_seed42 - _step__MAX","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views1_seed42 - training/flow_loss","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views1_seed42 - training/flow_loss__MIN","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views1_seed42 - training/flow_loss__MAX","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views1_seed42 - _step","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views1_seed42 - _step__MIN","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views1_seed42 - _step__MAX","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views0_seed42 - training/flow_loss","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views0_seed42 - training/flow_loss__MIN","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views0_seed42 - training/flow_loss__MAX","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views0_seed42 - _step","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views0_seed42 - _step__MIN","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views0_seed42 - _step__MAX"
"1","0.29783601331774623","0.29783601331774623","0.29783601331774623","6","6","6","0.3102688229438007","0.3102688229438007","0.3102688229438007","6","6","6","0.313702038026111","0.313702038026111","0.313702038026111","5","5","5","0.31667440052492074","0.31667440052492074","0.31667440052492074","6","6","6","0.3295159616470337","0.3295159616470337","0.3295159616470337","6","6","6"
"2","0.2693983378764458","0.2693983378764458","0.2693983378764458","7","7","7","0.2802724021204402","0.2802724021204402","0.2802724021204402","7","7","7","0.29510171850894223","0.29510171850894223","0.29510171850894223","6","6","6","0.29665903597471704","0.29665903597471704","0.29665903597471704","7","7","7","0.30419581508636473","0.30419581508636473","0.30419581508636473","7","7","7"
"3","0.2583620692208662","0.2583620692208662","0.2583620692208662","8","8","8","0.26716852173759315","0.26716852173759315","0.26716852173759315","8","8","8","0.28318624640690454","0.28318624640690454","0.28318624640690454","7","7","7","0.29329191704830493","0.29329191704830493","0.29329191704830493","8","8","8","0.2997327573299408","0.2997327573299408","0.2997327573299408","8","8","8"
"4","0.24467436389716793","0.24467436389716793","0.24467436389716793","9","9","9","0.25982713357307746","0.25982713357307746","0.25982713357307746","9","9","9","0.27424034197381475","0.27424034197381475","0.27424034197381475","8","8","8","0.2874892277411189","0.2874892277411189","0.2874892277411189","9","9","9","0.2927554601430893","0.2927554601430893","0.2927554601430893","9","9","9"
"5","0.2347037726007967","0.2347037726007967","0.2347037726007967","10","10","10","0.255653632945272","0.255653632945272","0.255653632945272","10","10","10","0.27058839140569463","0.27058839140569463","0.27058839140569463","9","9","9","0.27696034671312353","0.27696034671312353","0.27696034671312353","10","10","10","0.2974939864873886","0.2974939864873886","0.2974939864873886","10","10","10"
"6","0.22434595732365625","0.22434595732365625","0.22434595732365625","11","11","11","0.2482082105658793","0.2482082105658793","0.2482082105658793","11","11","11","0.26303125770493624","0.26303125770493624","0.26303125770493624","10","10","10","0.2750075745534705","0.2750075745534705","0.2750075745534705","11","11","11","0.29552937150001524","0.29552937150001524","0.29552937150001524","11","11","11"
"7","0.21366820354795585","0.21366820354795585","0.21366820354795585","12","12","12","0.24104832122356512","0.24104832122356512","0.24104832122356512","12","12","12","0.2610299634662541","0.2610299634662541","0.2610299634662541","11","11","11","0.270393772477127","0.270393772477127","0.270393772477127","12","12","12","0.28672399854660036","0.28672399854660036","0.28672399854660036","12","12","12"
"8","0.20609143912047811","0.20609143912047811","0.20609143912047811","13","13","13","0.23523778859436226","0.23523778859436226","0.23523778859436226","13","13","13","0.2580507115565519","0.2580507115565519","0.2580507115565519","12","12","12","0.26815994885791256","0.26815994885791256","0.26815994885791256","13","13","13","0.27741300559043885","0.27741300559043885","0.27741300559043885","13","13","13"
"9","0.20037722535743765","0.20037722535743765","0.20037722535743765","14","14","14","0.22971502188025086","0.22971502188025086","0.22971502188025086","14","14","14","0.25440589234950073","0.25440589234950073","0.25440589234950073","13","13","13","0.2608374362011032","0.2608374362011032","0.2608374362011032","14","14","14","0.27150235867500305","0.27150235867500305","0.27150235867500305","14","14","14"
"10","0.19668203589641867","0.19668203589641867","0.19668203589641867","15","15","15","0.22417212996398656","0.22417212996398656","0.22417212996398656","15","15","15","0.24766491369448881","0.24766491369448881","0.24766491369448881","14","14","14","0.26150515944842834","0.26150515944842834","0.26150515944842834","15","15","15","0.2703408353328705","0.2703408353328705","0.2703408353328705","15","15","15"
