"validation/epoch","plonk_local_fm_r2_image_only_aug_conservative_views8_seed42 - validation/mode_median_distance_km","plonk_local_fm_r2_image_only_aug_conservative_views8_seed42 - validation/mode_median_distance_km__MIN","plonk_local_fm_r2_image_only_aug_conservative_views8_seed42 - validation/mode_median_distance_km__MAX","plonk_local_fm_r2_image_only_aug_conservative_views8_seed42 - _step","plonk_local_fm_r2_image_only_aug_conservative_views8_seed42 - _step__MIN","plonk_local_fm_r2_image_only_aug_conservative_views8_seed42 - _step__MAX","plonk_local_fm_r2_image_only_aug_conservative_views4_seed42 - validation/mode_median_distance_km","plonk_local_fm_r2_image_only_aug_conservative_views4_seed42 - validation/mode_median_distance_km__MIN","plonk_local_fm_r2_image_only_aug_conservative_views4_seed42 - validation/mode_median_distance_km__MAX","plonk_local_fm_r2_image_only_aug_conservative_views4_seed42 - _step","plonk_local_fm_r2_image_only_aug_conservative_views4_seed42 - _step__MIN","plonk_local_fm_r2_image_only_aug_conservative_views4_seed42 - _step__MAX","plonk_local_fm_r2_image_only_aug_conservative_views2_seed42 - validation/mode_median_distance_km","plonk_local_fm_r2_image_only_aug_conservative_views2_seed42 - validation/mode_median_distance_km__MIN","plonk_local_fm_r2_image_only_aug_conservative_views2_seed42 - validation/mode_median_distance_km__MAX","plonk_local_fm_r2_image_only_aug_conservative_views2_seed42 - _step","plonk_local_fm_r2_image_only_aug_conservative_views2_seed42 - _step__MIN","plonk_local_fm_r2_image_only_aug_conservative_views2_seed42 - _step__MAX","plonk_local_fm_r2_image_only_aug_conservative_views1_seed42 - validation/mode_median_distance_km","plonk_local_fm_r2_image_only_aug_conservative_views1_seed42 - validation/mode_median_distance_km__MIN","plonk_local_fm_r2_image_only_aug_conservative_views1_seed42 - validation/mode_median_distance_km__MAX","plonk_local_fm_r2_image_only_aug_conservative_views1_seed42 - _step","plonk_local_fm_r2_image_only_aug_conservative_views1_seed42 - _step__MIN","plonk_local_fm_r2_image_only_aug_conservative_views1_seed42 - _step__MAX","plonk_local_fm_r2_image_only_aug_conservative_views0_seed42 - validation/mode_median_distance_km","plonk_local_fm_r2_image_only_aug_conservative_views0_seed42 - validation/mode_median_distance_km__MIN","plonk_local_fm_r2_image_only_aug_conservative_views0_seed42 - validation/mode_median_distance_km__MAX","plonk_local_fm_r2_image_only_aug_conservative_views0_seed42 - _step","plonk_local_fm_r2_image_only_aug_conservative_views0_seed42 - _step__MIN","plonk_local_fm_r2_image_only_aug_conservative_views0_seed42 - _step__MAX"
"1","46.12010192871094","46.12010192871094","46.12010192871094","6","6","6","50.21116256713867","50.21116256713867","50.21116256713867","6","6","6","64.00292205810547","64.00292205810547","64.00292205810547","5","5","5","70.02570343017578","70.02570343017578","70.02570343017578","6","6","6","77.42660522460938","77.42660522460938","77.42660522460938","6","6","6"
"2","63.16412353515625","63.16412353515625","63.16412353515625","7","7","7","52.71944046020508","52.71944046020508","52.71944046020508","7","7","7","47.407901763916016","47.407901763916016","47.407901763916016","6","6","6","54.43876266479492","54.43876266479492","54.43876266479492","7","7","7","58.68572998046875","58.68572998046875","58.68572998046875","7","7","7"
"3","47.40480041503906","47.40480041503906","47.40480041503906","8","8","8","58.760101318359375","58.760101318359375","58.760101318359375","8","8","8","53.01887512207031","53.01887512207031","53.01887512207031","7","7","7","51.8516960144043","51.8516960144043","51.8516960144043","8","8","8","50.76859664916992","50.76859664916992","50.76859664916992","8","8","8"
"4","40.51273727416992","40.51273727416992","40.51273727416992","9","9","9","52.343875885009766","52.343875885009766","52.343875885009766","9","9","9","55.15829086303711","55.15829086303711","55.15829086303711","8","8","8","53.65516662597656","53.65516662597656","53.65516662597656","9","9","9","45.74384307861328","45.74384307861328","45.74384307861328","9","9","9"
"5","33.28135681152344","33.28135681152344","33.28135681152344","10","10","10","43.55563735961914","43.55563735961914","43.55563735961914","10","10","10","53.36692428588867","53.36692428588867","53.36692428588867","9","9","9","50.076995849609375","50.076995849609375","50.076995849609375","10","10","10","43.33223342895508","43.33223342895508","43.33223342895508","10","10","10"
"6","30.543682098388672","30.543682098388672","30.543682098388672","11","11","11","38.136966705322266","38.136966705322266","38.136966705322266","11","11","11","49.408531188964844","49.408531188964844","49.408531188964844","10","10","10","49.63485336303711","49.63485336303711","49.63485336303711","11","11","11","45.20220184326172","45.20220184326172","45.20220184326172","11","11","11"
"7","26.903104782104492","26.903104782104492","26.903104782104492","12","12","12","32.6363639831543","32.6363639831543","32.6363639831543","12","12","12","45.23860549926758","45.23860549926758","45.23860549926758","11","11","11","51.36330795288086","51.36330795288086","51.36330795288086","12","12","12","47.46039962768555","47.46039962768555","47.46039962768555","12","12","12"
"8","24.157739639282227","24.157739639282227","24.157739639282227","13","13","13","29.489669799804688","29.489669799804688","29.489669799804688","13","13","13","40.976112365722656","40.976112365722656","40.976112365722656","12","12","12","49.806236267089844","49.806236267089844","49.806236267089844","13","13","13","48.52864074707031","48.52864074707031","48.52864074707031","13","13","13"
"9","21.321107864379883","21.321107864379883","21.321107864379883","14","14","14","27.443500518798828","27.443500518798828","27.443500518798828","14","14","14","38.45506286621094","38.45506286621094","38.45506286621094","13","13","13","47.86809158325195","47.86809158325195","47.86809158325195","14","14","14","49.38694381713867","49.38694381713867","49.38694381713867","14","14","14"
"10","19.015979766845703","19.015979766845703","19.015979766845703","15","15","15","25.222747802734375","25.222747802734375","25.222747802734375","15","15","15","34.72727966308594","34.72727966308594","34.72727966308594","14","14","14","45.7789306640625","45.7789306640625","45.7789306640625","15","15","15","49.81089401245117","49.81089401245117","49.81089401245117","15","15","15"
